% Model:              NEPPS_ElectronTracking_B0028T.mph
% Version:            COMSOL 5.2.1.199
% Date:               May 23 2017, 21:48
% Dimension:          1
% Nodes:              100
% Expressions:        1
% Description:        Particle
% Energy (keV)        Position (mm)
10                        17.02826860394093
20                        21.876528975548304
30.000000000000004        25.277867162241613
40                        27.96903587702015
50                        30.250237515475263
60.00000000000001         32.23391337117182
70                        34.017590765396456
80                        35.63554800382261
90                        37.11177711565886
100                       38.487697219764115
109.99999999999999        39.76706466956323
120.00000000000001        40.96522996162342
130                       42.104639985012554
140                       43.18014155851951
150                       44.214391904663735
160                       45.19527809575111
170                       46.13364328951549
180                       47.02809339678929
190                       47.896156639138226
200                       48.72552533256257
209.99999999999997        49.52830728452834
219.99999999999997        50.309013460398944
229.99999999999997        51.04068928974787
240.00000000000003        51.77390699099135
250                       52.473013480469184
260                       53.15536587405769
270                       53.827794568312875
280                       54.467017171337545
290                       55.098442378751066
300                       55.701596751747196
310                       56.296071928326725
320                       56.88231516800986
330                       57.43521243788373
340                       57.98425923622858
350                       58.52732636127512
360                       59.06575085119799
370                       59.58902038913092
380                       60.095909888567704
390                       60.588261808836855
400                       61.08695612967549
410                       61.55917417765477
419.99999999999994        62.024284964770885
430                       62.49278718888322
439.99999999999994        62.94105407327384
450                       63.38087715900373
459.99999999999994        63.81915973080958
470                       64.24280288369201
480.00000000000006        64.66243106254744
490                       65.0726014330225
500                       65.47879805843506
510                       65.88236738514095
520                       66.25995044864143
530                       66.64809671148511
540                       67.02566626686524
550                       67.4094011183766
560                       67.77469927350624
570                       68.13368225050674
580                       68.4912094808841
590                       68.83705718580923
600                       69.17576052766174
610                       69.51153355347499
620                       69.85726650092103
630                       70.1838647310039
640                       70.50988211971182
650                       70.83415178485781
660                       71.14606909178482
670                       71.4651289834881
680                       71.76575909354972
690                       72.07033279585868
700                       72.37404922125138
709.9999999999999         72.66175747191191
720                       72.95311722931321
730                       73.24391078750409
740                       73.52690033993063
749.9999999999999         73.81103898891459
760                       74.08776788771502
770                       74.36272483790056
780                       74.63085658169422
789.9999999999999         74.89983380908012
800                       75.16336806544467
810                       75.41798824268338
820                       75.67465293491414
830.0000000000001         75.92994244415928
839.9999999999999         76.18547780448229
850                       76.43592046120904
860                       76.6889708288358
870                       76.93235924270819
879.9999999999999         77.17222536426355
890                       77.40901648060876
900                       77.64469036264751
910                       77.87437213729338
919.9999999999999         78.09968298303997
930                       78.32625710961092
940                       78.55694311904487
950                       78.77968739370456
960.0000000000001         79.00215198972337
969.9999999999999         79.2188756350383
980                       79.43229810800372
990                       79.64710261058819
1000                      79.85735321347923
