Electron Energy (keV)	Electrons Distance (mm)
0 0
100	2.430921686
129.1549665	2.906076149
166.8100537	3.462439826
215.443469	4.085709595
278.2559402	4.789474515
359.3813664	5.608984288
464.1588834	6.543789285
599.4842503	7.628530892
774.2636827	8.899372778
1000	10.37976918
1291.549665	12.09282141
1668.100537	14.07974957
2154.43469	16.42712666
2782.559402	19.18049935
3593.813664	22.41301431
4641.588834	26.17047149
5994.842503	30.56888737
7742.636827	35.6314676
10000	41.37722064
12915.49665	47.77686633
16681.00537	54.74814349
21544.3469	62.12699676
27825.59402	69.71561977
35938.13664	77.27856992
46415.88834	84.60939458
59948.42503	91.5022298
77426.36827	97.80575565
100000	103.4301408
