Proton Energy (keV)	Protons Distance (mm)
10	22.40717395
12.91549665	24.40017165
16.68100537	26.50650379
21.5443469	28.73267235
27.82559402	31.07976596
35.93813664	33.54840525
46.41588834	36.14376645
59.94842503	38.85352596
77.42636827	41.67337472
100	44.60501882
129.1549665	47.6335025
166.8100537	50.74641978
215.443469	53.93001712
278.2559402	57.16849505
359.3813664	60.44479424
464.1588834	63.72882309
599.4842503	67.00267604
774.2636827	70.24534086
1000	73.43372005
1291.549665	76.54447402
1668.100537	79.56220252
2154.43469	82.47234791
2782.559402	85.25594612
3593.813664	87.90024317
4641.588834	90.39749862
5994.842503	92.74273568
7742.636827	94.9328624
10000	96.96670344
